ax,ay,az,gx,gy,gz,thr,as,vz,alt,roll,pitch,label
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.9266,-0.0100,0.0420,0.0663,0.0532,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.2053,0.0000,0.0000,0.0665,0.0529,0
0.0000,0.0000,-9.8100,0.0000,0.0000,0.0000,0.0000,0.2754,0.0000,-0.0120,0.0664,0.0527,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.4648,0.0000,-0.0240,0.0667,0.0529,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7416,0.0000,-0.0330,0.0669,0.0535,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.9228,0.0000,-0.0440,0.0672,0.0538,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,1.1831,0.0000,-0.0430,0.0671,0.0540,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.8248,0.0000,-0.0430,0.0671,0.0545,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7588,0.0000,-0.0480,0.0673,0.0547,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5749,0.0000,-0.0560,0.0671,0.0548,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.2065,0.0000,-0.0630,0.0672,0.0547,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6529,0.0000,-0.0710,0.0673,0.0551,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6049,0.0000,-0.0710,0.0678,0.0556,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5290,0.0000,-0.0700,0.0676,0.0558,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7463,0.0000,-0.0730,0.0675,0.0559,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5867,0.0000,-0.0780,0.0674,0.0563,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5765,0.0000,-0.0810,0.0678,0.0569,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6988,0.0000,-0.0830,0.0679,0.0568,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5265,0.0000,-0.0840,0.0682,0.0570,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.4156,0.0000,-0.0900,0.0687,0.0571,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.4383,0.0000,-0.0960,0.0691,0.0575,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5303,0.0000,-0.1030,0.0692,0.0580,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7287,0.0000,-0.1060,0.0692,0.0578,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0000,0.0000,0.7878,0.0000,-0.0770,0.0694,0.0584,0
0.0000,0.0000,-9.8198,0.0010,0.0000,0.0000,0.0000,0.6690,0.0100,-0.0390,0.0696,0.0585,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.2536,0.0100,-0.0280,0.0695,0.0585,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5852,0.0100,-0.0310,0.0696,0.0586,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.3607,0.0100,-0.0370,0.0695,0.0588,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.4978,0.0100,-0.0380,0.0701,0.0591,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.2210,0.0100,-0.0350,0.0701,0.0591,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5302,0.0100,-0.0360,0.0700,0.0593,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5452,0.0100,-0.0360,0.0703,0.0594,0
0.0000,0.0000,-9.8198,0.0000,0.0010,0.0000,0.0000,0.4234,0.0100,-0.0420,0.0704,0.0592,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0010,0.0000,0.2857,0.0100,-0.0480,0.0705,0.0592,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0010,0.0000,0.9634,0.0100,-0.0540,0.0704,0.0589,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.4033,0.0100,-0.0590,0.0702,0.0586,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7185,0.0100,-0.0610,0.0704,0.0586,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7430,0.0100,-0.0620,0.0706,0.0590,0
0.0000,0.0000,-9.8198,0.0010,0.0000,0.0000,0.0000,0.5891,0.0100,-0.0640,0.0709,0.0590,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.2355,0.0100,-0.0620,0.0709,0.0589,0
0.0000,0.0000,-9.8198,0.0010,0.0000,0.0010,0.0000,0.4914,0.0100,-0.0630,0.0714,0.0589,0
0.0000,0.0000,-9.8198,0.0010,0.0000,0.0010,0.0000,0.8516,0.0000,-0.0630,0.0715,0.0588,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0010,0.0000,0.5454,0.0000,-0.0620,0.0714,0.0583,0
0.0000,0.0000,-9.8100,0.0000,0.0000,0.0000,0.0000,0.7126,0.0000,-0.0640,0.0713,0.0581,0
0.0000,0.0000,-9.8198,0.0010,0.0000,0.0010,0.0000,0.7456,0.0000,-0.0620,0.0714,0.0583,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0000,0.0000,0.2951,0.0000,-0.0620,0.0717,0.0588,0
0.0000,0.0000,-9.8198,0.0000,0.0010,0.0010,0.0000,0.7009,0.0000,-0.0620,0.0716,0.0587,0
0.0000,0.0000,-9.8198,0.0000,0.0010,0.0010,0.0000,0.6771,0.0000,-0.0460,0.0715,0.0585,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3163,0.0000,-0.0240,0.0718,0.0586,0
0.0000,0.0000,-9.8198,0.0010,0.0000,0.0010,0.0000,0.6521,0.0000,-0.0050,0.0714,0.0587,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0000,0.0000,0.6014,0.0000,0.0110,0.0713,0.0588,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7250,0.0000,0.0250,0.0714,0.0587,0
0.0000,0.0000,-9.8100,0.0010,0.0010,0.0000,0.0000,0.1756,0.0000,0.0380,0.0715,0.0590,0
0.0000,0.0000,-9.8198,0.0010,0.0000,0.0010,0.0000,0.1677,0.0000,0.0450,0.0718,0.0592,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.2839,0.0000,0.0490,0.0721,0.0595,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3413,0.0000,0.0500,0.0721,0.0593,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3861,0.0000,0.0540,0.0725,0.0597,0
0.0000,0.0000,-9.8198,0.0000,0.0010,0.0010,0.0000,0.4152,0.0000,0.0600,0.0720,0.0591,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0000,0.0000,0.1578,0.0000,0.0660,0.0719,0.0593,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8796,0.0000,0.0710,0.0716,0.0594,0
